Nazwa Hotelu,Cena,Ocena klienta
Start Hotel Aramis - Portale,126,7
Leonardo Royal Hotel Warsaw,261,8
Sangate Hotel Airport,238,7
Chill Apartments City Link,249,8
NYX Hotel Warsaw by Leonardo Hotels,486,9
o3Hotel dawny Start Hotel Atos,201,8
Renttner Apartamenty,342,9
Airport Hotel Okecie,354,9
Hotel Holiday Park,321,8
Villa Plaza,228,8
Mamaison Hotel Le Regina Warsaw,794,9
Hotel Arche Geologiczna,237,9
H15 Boutique Hotel,798,9
Arcus Premium Hostel,262,8
Safestay Warsaw,239,9
P&amp;O Apartments Miodowa 3,323,NA
"Apartament (70 m²) w okolicy Ursus z 2 sypialnią/ami i 1 łazienką/ami (Super calme, très moderne et tout équipé.)",753,NA
Apartament (30 m²) w okolicy Żoliborz z 1 sypialnią/ami i 1 łazienką/ami (romentic beach palace),1&nbsp;506,NA
