Hotel Name,Price,Rating,Śniadanie,winda
Szafir - NoclegiGrodziskPL,179,9,0,0
NYX Hotel Warsaw by Leonardo Hotels,476,9,1,0
Warsaw - Apartments Sadyba,107,9,1,0
Warsaw - Aparts - Manhattan Mokotow,244,8,0,0
"Radisson Blu Sobieski Hotel, Warsaw",543,8,1,0
Leonardo Royal Hotel Warsaw,288,8,1,0
Apartament (55 m²) w okolicy Ochota z 2 sypialniami i 1 łazienkami (Apartment Metropolia typu deluxe near Airport),437,10,0,1
Sangate Hotel Airport,261,7,1,0
ibis budget Warszawa Centrum,161,8,1,0
Hotel Reytan,283,8,1,0
Hotel Metropol,323,8,1,0
Lovely LUX Garden Flat near Royal Park,704,9,0,1
Moon Hostel,164,8,0,0
Mamaison Hotel Le Regina Warsaw,797,9,1,0
Chill Apartments Airport Apartments,317,8,0,0
Apartamenty Media Park,190,8,1,0
Hotel Gromada Warszawa Centrum,362,8,1,0
H15 Boutique Hotel,971,9,1,0
Mamaison Residence Diana,514,9,0,0
Villa Plaza,228,8,1,0
Airport Hotel Okecie,354,9,1,0
o3Hotel,210,8,1,0
Regent Warsaw Hotel,438,8,1,0
Arcus Premium Hostel,206,8,1,0
Hotel Arche Geologiczna,275,9,0,0
Hotel Polonia Palace,498,9,1,0
HETMAN,259,8,1,0
Hotel Bellotto,1&nbsp;444,9,1,0
Hotelik Okecie 39 - free transfer to airport,131,7,0,0
Platinum Towers E-Apartments,342,8,0,0
Hit Hotel,203,8,1,0
Raffles Europejski Warsaw,3&nbsp;088,10,1,0
Hotel Warszawa,804,9,1,0
Logos,302,8,1,0
Platinum Residence,365,8,0,0
Apartament (30 m²) w okolicy Żoliborz z 1 sypialnią/ami i 1 łazienką/ami (romentic beach palace),1&nbsp;500,NA,0,0
Apartament (57 m²) w okolicy Warszawa - centrum z 2 sypialnią/ami i 2 łazienką/ami (Apartament Arsenał),360,NA,0,0
